component,year,value_gbp_bn
Gross tax gap,2005-06,8.8
Compliance yield,2005-06,3.5
Net tax gap,2005-06,5.5
Liabilities,2005-06,43.0
Proportion of liabilities %,2005-06,11.4
Gross tax gap,2006-07,8.9
Compliance yield,2006-07,4.3
Net tax gap,2006-07,4.9
Liabilities,2006-07,42.8
Proportion of liabilities %,2006-07,10.2
Gross tax gap,2007-08,7.8
Compliance yield,2007-08,3.5
Net tax gap,2007-08,4.7
Liabilities,2007-08,45.2
Proportion of liabilities %,2007-08,9.5
Gross tax gap,2008-09,6.9
Compliance yield,2008-09,3.0
Net tax gap,2008-09,4.4
Liabilities,2008-09,42.3
Proportion of liabilities %,2008-09,9.4
Gross tax gap,2009-10,6.8
Compliance yield,2009-10,3.5
Net tax gap,2009-10,4.1
Liabilities,2009-10,38.4
Proportion of liabilities %,2009-10,9.6
Gross tax gap,2010-11,6.0
Compliance yield,2010-11,2.7
Net tax gap,2010-11,4.0
Liabilities,2010-11,43.6
Proportion of liabilities %,2010-11,8.3
Gross tax gap,2011-12,4.8
Compliance yield,2011-12,2.2
Net tax gap,2011-12,3.0
Liabilities,2011-12,44.6
Proportion of liabilities %,2011-12,6.4
Gross tax gap,2012-13,5.9
Compliance yield,2012-13,3.0
Net tax gap,2012-13,3.6
Liabilities,2012-13,41.5
Proportion of liabilities %,2012-13,7.9
Gross tax gap,2013-14,6.2
Compliance yield,2013-14,3.0
Net tax gap,2013-14,3.7
Liabilities,2013-14,41.7
Proportion of liabilities %,2013-14,8.1
Gross tax gap,2014-15,5.6
Compliance yield,2014-15,1.4
Net tax gap,2014-15,4.7
Liabilities,2014-15,45.3
Proportion of liabilities %,2014-15,9.5
Gross tax gap,2015-16,6.2
Compliance yield,2015-16,1.9
Net tax gap,2015-16,4.6
Liabilities,2015-16,46.6
Proportion of liabilities %,2015-16,9.0
Gross tax gap,2016-17,6.5
Compliance yield,2016-17,1.7
Net tax gap,2016-17,5.2
Liabilities,2016-17,53.5
Proportion of liabilities %,2016-17,8.8
Gross tax gap,2017-18,6.6
Compliance yield,2017-18,1.5
Net tax gap,2017-18,5.4
Liabilities,2017-18,56.7
Proportion of liabilities %,2017-18,8.8
Gross tax gap,2018-19,7.2
Compliance yield,2018-19,1.4
Net tax gap,2018-19,6.3
Liabilities,2018-19,56.1
Proportion of liabilities %,2018-19,10.1
Gross tax gap,2019-20,10.3
Compliance yield,2019-20,1.4
Net tax gap,2019-20,9.4
Liabilities,2019-20,56.1
Proportion of liabilities %,2019-20,14.3
Gross tax gap,2020-21,11.3
Compliance yield,2020-21,1.3
Net tax gap,2020-21,10.5
Liabilities,2020-21,53.9
Proportion of liabilities %,2020-21,16.4
Gross tax gap,2021-22,15.0
Compliance yield,2021-22,1.4
Net tax gap,2021-22,14.2
Liabilities,2021-22,66.5
Proportion of liabilities %,2021-22,17.6
Gross tax gap,2022-23,16.8
Compliance yield,2022-23,1.8
Net tax gap,2022-23,15.5
Liabilities,2022-23,81.6
Proportion of liabilities %,2022-23,16.0
Gross tax gap,2023-24,20.3
Compliance yield,2023-24,2.3
Net tax gap,2023-24,18.6
Liabilities,2023-24,98.8
Proportion of liabilities %,2023-24,15.8
