year,sector_code,sector_name,ct_liability_gbp_m,companies_liable,liability_per_company_gbp_k,effective_ct_rate_pct,loss_ratio_pct,ct_share_pct,ct_rank
2018-19,A,,375.0,13405.0,28.0,,,,
2019-20,A,,355.0,13530.0,26.2,,,,
2020-21,A,,380.0,13860.0,27.4,,,,
2021-22,A,,411.0,14310.0,28.7,,,,
2022-23,A,,512.0,14665.0,34.9,,,,
2023-24,A,,558.0,14930.0,37.4,,,,
2018-19,B,,2173.0,3725.0,583.4,,,,
2019-20,B,,1565.0,3810.0,410.8,,,,
2020-21,B,,965.0,3285.0,293.8,,,,
2021-22,B,,2400.0,2835.0,846.6,,,,
2022-23,B,,6456.0,1005.0,6423.9,,,,
2023-24,B,,3078.0,2605.0,1181.6,,,,
2018-19,C,,4838.0,73475.0,65.8,,,,
2019-20,C,,3940.0,63855.0,61.7,,,,
2020-21,C,,4434.0,73335.0,60.5,,,,
2021-22,C,,5245.0,74000.0,70.9,,,,
2022-23,C,,5725.0,73590.0,77.8,,,,
2023-24,C,,6857.0,75105.0,91.3,,,,
2018-19,D,,975.0,3565.0,273.5,,,,
2019-20,D,,1082.0,3790.0,285.5,,,,
2020-21,D,,1220.0,3810.0,320.2,,,,
2021-22,D,,1481.0,3970.0,373.0,,,,
2022-23,D,,3307.0,4395.0,752.4,,,,
2023-24,D,,5183.0,4610.0,1124.3,,,,
2018-19,E,,300.0,4715.0,63.6,,,,
2019-20,E,,294.0,4705.0,62.5,,,,
2020-21,E,,273.0,4840.0,56.4,,,,
2021-22,E,,266.0,5045.0,52.7,,,,
2022-23,E,,275.0,5025.0,54.7,,,,
2023-24,E,,284.0,5120.0,55.5,,,,
2018-19,F,,4301.0,198370.0,21.7,,,,
2019-20,F,,4333.0,207160.0,20.9,,,,
2020-21,F,,3667.0,205925.0,17.8,,,,
2021-22,F,,4775.0,209710.0,22.8,,,,
2022-23,F,,5187.0,214495.0,24.2,,,,
2023-24,F,,5575.0,218460.0,25.5,,,,
2018-19,G,,5466.0,141125.0,38.7,,,,
2019-20,G,,5353.0,150390.0,35.6,,,,
2020-21,G,,5797.0,165070.0,35.1,,,,
2021-22,G,,7631.0,173710.0,43.9,,,,
2022-23,G,,7861.0,170850.0,46.0,,,,
2023-24,G,,8415.0,172000.0,48.9,,,,
2018-19,H,,1231.0,52585.0,23.4,,,,
2019-20,H,,828.0,58820.0,14.1,,,,
2020-21,H,,857.0,55000.0,15.6,,,,
2021-22,H,,1086.0,52865.0,20.5,,,,
2022-23,H,,1280.0,51040.0,25.1,,,,
2023-24,H,,1408.0,46365.0,30.4,,,,
2018-19,I,,970.0,47090.0,20.6,,,,
2019-20,I,,808.0,50540.0,16.0,,,,
2020-21,I,,594.0,57375.0,10.4,,,,
2021-22,I,,1126.0,62465.0,18.0,,,,
2022-23,I,,1094.0,58160.0,18.8,,,,
2023-24,I,,1180.0,57530.0,20.5,,,,
2018-19,J,,4824.0,175840.0,27.4,,,,
2019-20,J,,4867.0,180315.0,27.0,,,,
2020-21,J,,4718.0,166850.0,28.3,,,,
2021-22,J,,5214.0,145960.0,35.7,,,,
2022-23,J,,5231.0,137820.0,38.0,,,,
2023-24,J,,5983.0,137650.0,43.5,,,,
2018-19,K,,9831.0,41730.0,235.6,,,,
2019-20,K,,11571.0,43105.0,268.4,,,,
2020-21,K,,11244.0,42770.0,262.9,,,,
2021-22,K,,13114.0,43375.0,302.3,,,,
2022-23,K,,14890.0,43650.0,341.1,,,,
2023-24,K,,19581.0,44825.0,436.8,,,,
2018-19,L,,2060.0,96075.0,21.4,,,,
2019-20,L,,2005.0,104670.0,19.2,,,,
2020-21,L,,2097.0,115315.0,18.2,,,,
2021-22,L,,2718.0,128495.0,21.2,,,,
2022-23,L,,3123.0,139605.0,22.4,,,,
2023-24,L,,2706.0,146210.0,18.5,,,,
2018-19,M,,5920.0,277860.0,21.3,,,,
2019-20,M,,5649.0,287010.0,19.7,,,,
2020-21,M,,5322.0,274250.0,19.4,,,,
2021-22,M,,5878.0,258625.0,22.7,,,,
2022-23,M,,6708.0,250165.0,26.8,,,,
2023-24,M,,7622.0,255025.0,29.9,,,,
2018-19,N,,4460.0,161030.0,27.7,,,,
2019-20,N,,4588.0,157565.0,29.1,,,,
2020-21,N,,4220.0,146520.0,28.8,,,,
2021-22,N,,5177.0,143955.0,36.0,,,,
2022-23,N,,5994.0,146065.0,41.0,,,,
2023-24,N,,6773.0,137785.0,49.2,,,,
2018-19,O,,106.0,1880.0,56.4,,,,
2019-20,O,,119.0,2245.0,53.0,,,,
2020-21,O,,100.0,2380.0,42.0,,,,
2021-22,O,,106.0,2505.0,42.3,,,,
2022-23,O,,141.0,2740.0,51.5,,,,
2023-24,O,,302.0,3175.0,95.1,,,,
2018-19,P,,237.0,21605.0,11.0,,,,
2019-20,P,,240.0,22800.0,10.5,,,,
2020-21,P,,251.0,23195.0,10.8,,,,
2021-22,P,,381.0,24665.0,15.4,,,,
2022-23,P,,428.0,26145.0,16.4,,,,
2023-24,P,,425.0,27705.0,15.3,,,,
2018-19,Q,,1144.0,71370.0,16.0,,,,
2019-20,Q,,1180.0,77050.0,15.3,,,,
2020-21,Q,,1479.0,80000.0,18.5,,,,
2021-22,Q,,1709.0,82525.0,20.7,,,,
2022-23,Q,,1689.0,89070.0,19.0,,,,
2023-24,Q,,2029.0,96945.0,20.9,,,,
2018-19,R,,727.0,29400.0,24.7,,,,
2019-20,R,,663.0,30370.0,21.8,,,,
2020-21,R,,528.0,29455.0,17.9,,,,
2021-22,R,,778.0,31995.0,24.3,,,,
2022-23,R,,990.0,33700.0,29.4,,,,
2023-24,R,,1158.0,34950.0,33.1,,,,
2018-19,S,,929.0,68565.0,13.5,,,,
2019-20,S,,933.0,72990.0,12.8,,,,
2020-21,S,,918.0,72525.0,12.7,,,,
2021-22,S,,1020.0,72720.0,14.0,,,,
2022-23,S,,1253.0,71705.0,17.5,,,,
2023-24,S,,1521.0,73870.0,20.6,,,,
2018-19,T,,26.0,4750.0,5.5,,,,
2019-20,T,,28.0,5300.0,5.3,,,,
2020-21,T,,31.0,5640.0,5.5,,,,
2021-22,T,,42.0,5835.0,7.2,,,,
2022-23,T,,39.0,6110.0,6.4,,,,
2023-24,T,,41.0,6720.0,6.1,,,,
